Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime
4, AKAZE, FREAK,1360,163,111.882155,43.676237,121,0.685153
5, AKAZE, FREAK,1347,164,105.766684,43.613941,122,0.705618
6, AKAZE, FREAK,1363,173,114.636115,45.401989,133,0.756231
7, AKAZE, FREAK,1331,175,106.767147,48.458204,144,0.803735
8, AKAZE, FREAK,1357,177,111.914221,44.310049,147,1.04406
9, AKAZE, FREAK,1331,179,113.655508,43.815629,138,0.835596
,,,,,,,,
0, AKAZE, AKAZE,1351,166,105.829925,98.48024,0,0
1, AKAZE, AKAZE,1327,157,110.863336,96.395438,138,0.803554
2, AKAZE, AKAZE,1311,161,102.876954,93.140907,138,0.77543
3, AKAZE, AKAZE,1351,155,106.430608,91.0191,133,0.746103
4, AKAZE, AKAZE,1360,163,110.343164,96.40242,127,0.800127
5, AKAZE, AKAZE,1347,164,105.863359,93.739202,129,0.851962
6, AKAZE, AKAZE,1363,173,103.43295,93.775425,146,0.843866
7, AKAZE, AKAZE,1331,175,105.322662,95.743936,147,0.928277
8, AKAZE, AKAZE,1357,177,114.40287,102.798727,151,0.910229
9, AKAZE, AKAZE,1331,179,112.12414,96.899572,150,0.94535
,,,,,,,,
0, AKAZE, SIFT,1351,166,116.382879,36.513138,0,0
1, AKAZE, SIFT,1327,157,134.342823,35.63469,134,1.236721
2, AKAZE, SIFT,1311,161,108.639775,46.379359,134,1.225083
3, AKAZE, SIFT,1351,155,112.940766,35.8388,130,1.174224
4, AKAZE, SIFT,1360,163,111.266555,36.73817,136,1.173518
5, AKAZE, SIFT,1347,164,104.531273,37.558024,137,1.272934
6, AKAZE, SIFT,1363,173,113.458102,37.889829,147,1.324066
7, AKAZE, SIFT,1331,175,108.925906,37.944983,147,1.402278
8, AKAZE, SIFT,1357,177,107.353526,36.707147,154,1.475162
9, AKAZE, SIFT,1331,179,102.192851,37.469213,151,1.499497
,,,,,,,,
0, SIFT, BRISK,1438,138,169.368952,1.778689,0,0
1, SIFT, BRISK,1371,132,171.078732,1.604683,64,0.537806
2, SIFT, BRISK,1380,124,172.197611,1.549816,66,0.477186
3, SIFT, BRISK,1335,137,170.913365,1.637407,62,0.520727
4, SIFT, BRISK,1305,134,165.968279,1.625678,66,0.543184
5, SIFT, BRISK,1370,140,174.115312,1.655635,59,0.528963
6, SIFT, BRISK,1396,137,172.116675,1.626301,64,0.535026
7, SIFT, BRISK,1382,148,166.742923,1.738158,64,0.578512
8, SIFT, BRISK,1463,159,174.403831,1.834064,67,0.646456
9, SIFT, BRISK,1422,137,174.3034,1.647781,80,0.597582
,,,,,,,,
0, SIFT, BRIEF,1438,138,165.249108,0.798356,0,0
1, SIFT, BRIEF,1371,132,178.395116,0.768655,86,0.498157
2, SIFT, BRIEF,1380,124,167.675002,0.781035,78,0.437747
3, SIFT, BRIEF,1335,137,191.28116,0.799366,76,0.431056
4, SIFT, BRIEF,1305,134,167.534945,0.744277,85,0.476742
